model,brand_category,prompt_category,total_prompts,any_name,any_trade,any_total,trade_trade,spacy_name,spacy_trade,spacy_total
unbranded_llama-3.1-8b_merged,food,implicit,180,150,1,151,9,56,27,83
unbranded_llama-3.1-8b_merged,food,general,155,137,0,137,17,49,32,80
unbranded_llama-3.1-8b_merged,food,opinion,182,83,10,83,32,62,48,90
unbranded_llama-3.1-8b_merged,food,slogan,198,95,90,162,92,71,80,129
unbranded_llama-3.1-8b_merged,food,factual,168,102,1,102,7,70,27,96
unbranded_llama-3.1-8b_merged,food,scenario,185,12,23,32,10,45,102,118
unbranded_llama-3.1-8b_merged,auto,implicit,181,170,0,170,70,150,1,151
unbranded_llama-3.1-8b_merged,auto,general,181,165,1,166,70,132,4,136
unbranded_llama-3.1-8b_merged,auto,opinion,188,126,21,127,92,99,64,116
unbranded_llama-3.1-8b_merged,auto,slogan,189,184,0,184,96,159,4,163
unbranded_llama-3.1-8b_merged,auto,factual,152,126,1,127,76,119,4,123
unbranded_llama-3.1-8b_merged,auto,scenario,180,40,48,79,33,28,95,104
unbranded_llama-3.1-8b_merged,tech,implicit,186,109,4,112,14,71,12,81
unbranded_llama-3.1-8b_merged,tech,general,222,175,2,177,2,139,11,149
unbranded_llama-3.1-8b_merged,tech,opinion,169,119,25,120,51,103,49,108
unbranded_llama-3.1-8b_merged,tech,slogan,180,116,19,127,30,104,42,126
unbranded_llama-3.1-8b_merged,tech,factual,210,173,0,173,1,165,8,172
unbranded_llama-3.1-8b_merged,tech,scenario,182,42,49,77,35,59,119,135
unbranded_llama-3.1-8b_merged,beverages,implicit,179,165,0,165,0,25,4,29
unbranded_llama-3.1-8b_merged,beverages,general,201,162,1,163,9,81,21,102
unbranded_llama-3.1-8b_merged,beverages,opinion,183,114,19,115,80,104,52,118
unbranded_llama-3.1-8b_merged,beverages,slogan,191,113,35,139,39,48,55,86
unbranded_llama-3.1-8b_merged,beverages,factual,190,122,2,124,2,77,29,104
unbranded_llama-3.1-8b_merged,beverages,scenario,187,8,6,14,7,15,84,91
unbranded_llama-3.1-8b_merged,sport,implicit,180,137,24,146,58,55,71,118
unbranded_llama-3.1-8b_merged,sport,general,193,163,1,163,26,52,81,132
unbranded_llama-3.1-8b_merged,sport,opinion,183,139,21,142,95,76,69,106
unbranded_llama-3.1-8b_merged,sport,slogan,196,131,34,159,55,63,95,144
unbranded_llama-3.1-8b_merged,sport,factual,226,146,10,155,10,81,81,162
unbranded_llama-3.1-8b_merged,sport,scenario,176,23,16,32,25,30,96,104
unbranded_mistral-small_merged,food,implicit,180,69,6,75,10,41,19,60
unbranded_mistral-small_merged,food,general,155,35,1,35,3,22,14,35
unbranded_mistral-small_merged,food,opinion,182,43,3,46,13,34,28,56
unbranded_mistral-small_merged,food,slogan,198,15,62,71,52,32,80,97
unbranded_mistral-small_merged,food,factual,168,38,0,38,9,31,5,36
unbranded_mistral-small_merged,food,scenario,185,6,12,18,5,35,100,108
unbranded_mistral-small_merged,auto,implicit,181,71,0,71,17,10,36,46
unbranded_mistral-small_merged,auto,general,181,55,0,55,22,11,30,41
unbranded_mistral-small_merged,auto,opinion,188,97,8,99,61,58,52,83
unbranded_mistral-small_merged,auto,slogan,189,43,0,43,20,6,16,22
unbranded_mistral-small_merged,auto,factual,152,54,0,54,18,12,20,32
unbranded_mistral-small_merged,auto,scenario,180,1,10,11,1,27,82,98
unbranded_mistral-small_merged,tech,implicit,186,123,24,130,46,81,15,89
unbranded_mistral-small_merged,tech,general,222,118,0,118,24,115,2,117
unbranded_mistral-small_merged,tech,opinion,169,97,1,97,33,83,3,85
unbranded_mistral-small_merged,tech,slogan,180,79,18,90,44,85,55,119
unbranded_mistral-small_merged,tech,factual,210,174,0,174,35,173,6,179
unbranded_mistral-small_merged,tech,scenario,182,24,31,49,21,56,137,147
unbranded_mistral-small_merged,beverages,implicit,179,3,2,5,2,0,0,0
unbranded_mistral-small_merged,beverages,general,201,14,0,14,1,9,8,17
unbranded_mistral-small_merged,beverages,opinion,183,66,5,68,35,30,28,47
unbranded_mistral-small_merged,beverages,slogan,191,21,22,40,27,30,45,62
unbranded_mistral-small_merged,beverages,factual,190,37,0,37,11,17,5,21
unbranded_mistral-small_merged,beverages,scenario,187,1,2,3,0,8,133,133
unbranded_mistral-small_merged,sport,implicit,180,58,31,67,42,24,31,45
unbranded_mistral-small_merged,sport,general,193,3,0,3,2,2,4,6
unbranded_mistral-small_merged,sport,opinion,183,31,4,32,20,11,14,23
unbranded_mistral-small_merged,sport,slogan,196,19,36,51,39,22,46,60
unbranded_mistral-small_merged,sport,factual,226,27,0,27,14,10,6,16
unbranded_mistral-small_merged,sport,scenario,176,11,9,18,10,26,98,107
unbranded_qwen-32b_merged,food,implicit,180,145,81,146,86,111,79,142
unbranded_qwen-32b_merged,food,general,155,151,34,151,55,113,74,143
unbranded_qwen-32b_merged,food,opinion,182,143,26,144,86,122,81,154
unbranded_qwen-32b_merged,food,slogan,198,95,134,145,124,99,76,153
unbranded_qwen-32b_merged,food,factual,168,165,51,165,103,130,96,161
unbranded_qwen-32b_merged,food,scenario,185,6,5,11,4,40,89,110
unbranded_qwen-32b_merged,auto,implicit,181,181,150,181,150,172,47,181
unbranded_qwen-32b_merged,auto,general,181,181,69,181,125,171,57,179
unbranded_qwen-32b_merged,auto,opinion,188,185,30,185,163,170,78,178
unbranded_qwen-32b_merged,auto,slogan,189,185,164,185,139,181,60,186
unbranded_qwen-32b_merged,auto,factual,152,151,62,151,121,150,66,151
unbranded_qwen-32b_merged,auto,scenario,180,2,15,17,2,9,69,73
unbranded_qwen-32b_merged,tech,implicit,186,168,105,172,134,161,58,172
unbranded_qwen-32b_merged,tech,general,222,219,55,219,92,199,88,208
unbranded_qwen-32b_merged,tech,opinion,169,168,64,168,124,167,103,168
unbranded_qwen-32b_merged,tech,slogan,180,127,88,137,118,129,59,152
unbranded_qwen-32b_merged,tech,factual,210,209,86,209,105,207,90,209
unbranded_qwen-32b_merged,tech,scenario,182,28,31,51,22,73,135,152
unbranded_qwen-32b_merged,beverages,implicit,179,177,168,179,161,157,22,167
unbranded_qwen-32b_merged,beverages,general,201,188,29,188,95,175,55,185
unbranded_qwen-32b_merged,beverages,opinion,183,140,33,146,114,130,56,147
unbranded_qwen-32b_merged,beverages,slogan,191,113,120,139,106,117,61,143
unbranded_qwen-32b_merged,beverages,factual,190,177,39,177,136,173,110,186
unbranded_qwen-32b_merged,beverages,scenario,187,0,4,4,1,4,118,119
unbranded_qwen-32b_merged,sport,implicit,180,170,155,173,171,113,104,155
unbranded_qwen-32b_merged,sport,general,193,193,38,193,151,125,99,173
unbranded_qwen-32b_merged,sport,opinion,183,181,41,182,164,148,132,167
unbranded_qwen-32b_merged,sport,slogan,196,142,133,174,137,102,113,162
unbranded_qwen-32b_merged,sport,factual,226,224,92,224,206,160,145,210
unbranded_qwen-32b_merged,sport,scenario,176,7,13,16,9,44,84,103
unbranded_qwen-14b_merged,food,implicit,180,123,57,124,50,108,68,129
unbranded_qwen-14b_merged,food,general,155,143,21,143,60,124,80,141
unbranded_qwen-14b_merged,food,opinion,182,137,20,139,84,113,89,146
unbranded_qwen-14b_merged,food,slogan,198,100,133,157,131,97,106,160
unbranded_qwen-14b_merged,food,factual,168,148,43,149,103,133,95,155
unbranded_qwen-14b_merged,food,scenario,185,9,12,19,6,34,100,116
unbranded_qwen-14b_merged,auto,implicit,181,177,120,179,114,173,49,178
unbranded_qwen-14b_merged,auto,general,181,179,49,179,129,171,60,175
unbranded_qwen-14b_merged,auto,opinion,188,180,31,180,156,164,88,179
unbranded_qwen-14b_merged,auto,slogan,189,177,102,177,125,174,70,181
unbranded_qwen-14b_merged,auto,factual,152,146,51,146,119,145,68,149
unbranded_qwen-14b_merged,auto,scenario,180,2,15,17,2,10,77,81
unbranded_qwen-14b_merged,tech,implicit,186,161,74,167,104,160,57,168
unbranded_qwen-14b_merged,tech,general,222,212,60,212,92,212,104,212
unbranded_qwen-14b_merged,tech,opinion,169,169,47,169,106,165,88,165
unbranded_qwen-14b_merged,tech,slogan,180,112,55,130,78,116,56,140
unbranded_qwen-14b_merged,tech,factual,210,207,64,207,111,208,89,209
unbranded_qwen-14b_merged,tech,scenario,182,31,36,60,33,56,151,159
unbranded_qwen-14b_merged,beverages,implicit,179,178,132,179,126,169,38,173
unbranded_qwen-14b_merged,beverages,general,201,177,19,177,105,162,69,178
unbranded_qwen-14b_merged,beverages,opinion,183,149,18,149,112,135,75,155
unbranded_qwen-14b_merged,beverages,slogan,191,97,74,127,96,98,78,136
unbranded_qwen-14b_merged,beverages,factual,190,149,22,149,113,156,101,176
unbranded_qwen-14b_merged,beverages,scenario,187,0,3,3,0,4,86,88
unbranded_qwen-14b_merged,sport,implicit,180,168,128,176,142,129,111,164
unbranded_qwen-14b_merged,sport,general,193,191,41,191,139,169,147,188
unbranded_qwen-14b_merged,sport,opinion,183,178,40,178,144,157,125,171
unbranded_qwen-14b_merged,sport,slogan,196,127,100,156,118,108,110,163
unbranded_qwen-14b_merged,sport,factual,226,210,71,210,193,166,160,214
unbranded_qwen-14b_merged,sport,scenario,176,7,10,17,7,34,97,113
